Issue Id,Issue key,Issue type,Summary,Test type,Precondition type,Priority,Component,Action,Data,Result,Unstructured defination,Gherkin defination,"Link ""Tests""",Test Level,Test Repository Path,Test Environments,Test set,Preconditions,Assignee
1,,,Test-NBEC-10663-Desktop-Verify that we are able to send an email to customers if the product becomes available in stock,Manual,,High,,"Open any applicable browser (eg. Chrome) on Desktop and launch the Canon  Store portal using below TST url:
https://canon-b2c-store-tst.mobify-storefront.com/s",,"The Canon Store portal should get open on chrome browser (Desktop) and Design should appear as per Design guidelines for Desktop 

Reference link  - SFCC PDP Cameras + Lens Page Templates (adobe.com) ",,,NBEC-10663,02 STT - System Test,Cycle 1 - ST - Test Cases,TST,NBEC-11490,,sasikala.pillaripattu@canon-europe.com
1,,,,,,,,"Navigate to all pages like PLP, PDP, Product Galleries",,"Should able to navigate to all pages like PLP, PDP, Product Galleries",,,,,,,,,
1,,,,,,,,Verify that we are able to send an email to customers if the product becomes available in stock,,An email should be sent to customers when product becomes available in stock,,,,,,,,,
2,,,"Test-NBEC-10663-Desktop-Verify if the email sent to the number of users on a first-come, first-served basis and ensuring the ratio of emails to Unit of Stock is 10:1",Manual,,High,,"Open any applicable browser (eg. Chrome) on Desktop and launch the Canon  Store portal using below TST url:
https://canon-b2c-store-tst.mobify-storefront.com/s",,"The Canon Store portal should get open on chrome browser (Desktop) and Design should appear as per Design guidelines for Desktop 

Reference link  - SFCC PDP Cameras + Lens Page Templates (adobe.com) ",,,NBEC-10663,02 STT - System Test,Cycle 1 - ST - Test Cases,TST,NBEC-11490,,sasikala.pillaripattu@canon-europe.com
2,,,,,,,,"Navigate to all pages like PLP, PDP, Product Galleries",,"Should able to navigate to all pages like PLP, PDP, Product Galleries",,,,,,,,,
2,,,,,,,,"Verify if the email sent to the number of users on a first-come, first-served basis and ensuring the ratio of emails to Unit of Stock is 10:1",,"Email should send to the number of users on first-come, first-served basis and should ensure the ratio of emails to Unit of Stock is 10:1",,,,,,,,,
3,,,Test-NBEC-10663-Desktop-Verify that this process will continue until the email has been sent to all the customers who requested it,Manual,,High,,"Open any applicable browser (eg. Chrome) on Desktop and launch the Canon  Store portal using below TST url:
https://canon-b2c-store-tst.mobify-storefront.com/s",,"The Canon Store portal should get open on chrome browser (Desktop) and Design should appear as per Design guidelines for Desktop 

Reference link  - SFCC PDP Cameras + Lens Page Templates (adobe.com) ",,,NBEC-10663,02 STT - System Test,Cycle 1 - ST - Test Cases,TST,NBEC-11490,,sasikala.pillaripattu@canon-europe.com
3,,,,,,,,"Navigate to all pages like PLP, PDP, Product Galleries",,"Should able to navigate to all pages like PLP, PDP, Product Galleries",,,,,,,,,
3,,,,,,,,Verify that this process will continue until the email has been sent to all the customers who requested it,,This process should continue until the email had been sent to all the customers who requested it,,,,,,,,,
4,,,Test-NBEC-10663-Desktop-Verify that the number of customers(to whom the email should be sent) is business configurable,Manual,,High,,"Open any applicable browser (eg. Chrome) on Desktop and launch the Canon  Store portal using below TST url:
https://canon-b2c-store-tst.mobify-storefront.com/s",,"The Canon Store portal should get open on chrome browser (Desktop) and Design should appear as per Design guidelines for Desktop 

Reference link  - SFCC PDP Cameras + Lens Page Templates (adobe.com) ",,,NBEC-10663,02 STT - System Test,Cycle 1 - ST - Test Cases,TST,NBEC-11490,,sasikala.pillaripattu@canon-europe.com
4,,,,,,,,"Navigate to all pages like PLP, PDP, Product Galleries",,"Should able to navigate to all pages like PLP, PDP, Product Galleries",,,,,,,,,
4,,,,,,,,Verify that the number of customers(to whom the email should be sent) is business configurable,,The number of customers(to whom the email should be sent) should be business configurable,,,,,,,,,
5,,,Test-NBEC-10663-Desktop-Verify that duplicate email addresses are not added more than once even if a customer submits the request multiple times,Manual,,High,,"Open any applicable browser (eg. Chrome) on Desktop and launch the Canon  Store portal using below TST url:
https://canon-b2c-store-tst.mobify-storefront.com/s",,"The Canon Store portal should get open on chrome browser (Desktop) and Design should appear as per Design guidelines for Desktop 

Reference link  - SFCC PDP Cameras + Lens Page Templates (adobe.com) ",,,NBEC-10663,02 STT - System Test,Cycle 1 - ST - Test Cases,TST,NBEC-11490,,sasikala.pillaripattu@canon-europe.com
5,,,,,,,,"Navigate to all pages like PLP, PDP, Product Galleries",,"Should able to navigate to all pages like PLP, PDP, Product Galleries",,,,,,,,,
5,,,,,,,,Verify that duplicate email addresses are not added more than once even if a customer submits the request multiple times,,Duplicate email addresses should not added more than once even if a customer submits the request multiple times,,,,,,,,,
